,model,member,experiment,lfquery
0,CESM2,r1i1p1f1,historical,source_id=='CESM2' & experiment_id=='amip' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
1,CESM2-FV2,r1i1p1f1,historical,source_id=='CESM2-FV2' & experiment_id=='piControl' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
2,CESM2-WACCM,r1i1p1f1,historical,source_id=='CESM2-WACCM' & experiment_id=='amip' & member_id=='r2i1p1f1' & variable_id=='sftlf' & table_id=='fx'
3,CESM2-WACCM-FV2,r1i1p1f1,historical,source_id=='CESM2-WACCM-FV2' & experiment_id=='historical' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
4,CMCC-CM2-SR5,r1i1p1f1,historical,source_id=='CMCC-CM2-SR5' & experiment_id=='historical' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
5,CanESM5,r11i1p1f1,historical,source_id=='CanESM5' & experiment_id=='ssp370' & member_id=='r23i1p2f1' & variable_id=='sftlf' & table_id=='fx'
6,CanESM5,r1i1p1f1,historical,source_id=='CanESM5' & experiment_id=='ssp370' & member_id=='r23i1p2f1' & variable_id=='sftlf' & table_id=='fx'
7,CanESM5,r21i1p1f1,historical,source_id=='CanESM5' & experiment_id=='ssp370' & member_id=='r23i1p2f1' & variable_id=='sftlf' & table_id=='fx'
8,CanESM5,r23i1p1f1,historical,source_id=='CanESM5' & experiment_id=='ssp370' & member_id=='r23i1p2f1' & variable_id=='sftlf' & table_id=='fx'
9,CanESM5,r4i1p2f1,historical,source_id=='CanESM5' & experiment_id=='ssp370' & member_id=='r23i1p2f1' & variable_id=='sftlf' & table_id=='fx'
10,E3SM-1-0,r1i1p1f1,historical,source_id=='E3SM-1-0' & experiment_id=='amip' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
11,E3SM-1-1,r1i1p1f1,historical,source_id=='E3SM-1-1' & experiment_id=='piControl' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
12,E3SM-1-1-ECA,r1i1p1f1,historical,source_id=='E3SM-1-1-ECA' & experiment_id=='piControl' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
13,FGOALS-g3,r1i1p1f1,historical,source_id=='FGOALS-g3' & experiment_id=='ssp370' & member_id=='r3i1p1f1' & variable_id=='sftlf' & table_id=='fx'
14,FGOALS-g3,r1i1p1f1,ssp585,source_id=='FGOALS-g3' & experiment_id=='ssp370' & member_id=='r3i1p1f1' & variable_id=='sftlf' & table_id=='fx'
15,FGOALS-g3,r3i1p1f1,historical,source_id=='FGOALS-g3' & experiment_id=='ssp370' & member_id=='r3i1p1f1' & variable_id=='sftlf' & table_id=='fx'
